Data Set 1:Time(s),Data Set 1:EKG(mV),Data Set 1:Heart Rate(bpm),Data Set 2:Time(s),Data Set 2:EKG(mV),Data Set 2:Heart Rate(bpm)
,,,34.602499999999999,-0.025050243362784386,
,,,34.604999999999997,-0.023127000778913498,
,,,34.607500000000002,-0.021323960274457932,
,,,34.609999999999999,-0.017886161804199219,
,,,34.612499999999997,-0.016107162460684776,
,,,34.615000000000002,-0.014159878715872765,
,,,34.6175,-0.011996230110526085,
,,,34.619999999999997,-0.0068034729920327663,
,,,34.622500000000002,-0.0037262837868183851,
,,,34.625,-0.00033656758023425937,
,,,34.627499999999998,0.0033175945281982422,
,,,34.630000000000003,0.011275013908743858,
,,,34.6325,0.015434026718139648,
,,,34.634999999999998,0.01966516301035881,
,,,34.637500000000003,0.023896297439932823,
,,,34.640000000000001,0.032214324921369553,
,,,34.642499999999998,0.036301217973232269,
,,,34.645000000000003,0.040388107299804688,
,,,34.647500000000001,0.044499039649963379,
,,,34.649999999999999,0.053177677094936371,
,,,34.652500000000003,0.057961743324995041,
,,,34.655000000000001,0.063106417655944824,
,,,34.657499999999999,0.068731904029846191,
,,,34.659999999999997,0.081401273608207703,
,,,34.662500000000001,0.0883970707654953,
,,,34.664999999999999,0.095729433000087738,
,,,34.667499999999997,0.10327816009521484,
,,,34.670000000000002,0.11839966475963593,
,,,34.672499999999999,0.12565991282463074,
,,,34.674999999999997,0.13251146674156189,
,,,34.677500000000002,0.13888220489025116,
,,,34.68,0.1497485339641571,
,,,34.682499999999997,0.15419602394104004,
,,,34.685000000000002,0.15799443423748016,
,,,34.6875,0.16119182109832764,
,,,34.689999999999998,0.16590377688407898,
,,,34.692500000000003,0.16751448810100555,
,,,34.695,0.16864439845085144,
,,,34.697499999999998,0.16929349303245544,
,,,34.700000000000003,0.16888479888439178,
,,,34.702500000000001,0.167658731341362,
,,,34.704999999999998,0.16563932597637177,
,,,34.707500000000003,0.16270637512207031,
,,,34.710000000000001,0.15383541584014893,
,,,34.712499999999999,0.14775316417217255,
,,,34.715000000000003,0.14056503772735596,
,,,34.717500000000001,0.13224701583385468,
,,,34.719999999999999,0.11243760585784912,
,,,34.722499999999997,0.10109047591686249,
,,,34.725000000000001,0.088901922106742859,
,,,34.727499999999999,0.076064273715019226,
,,,34.729999999999997,0.049138866364955902,
,,,34.732500000000002,0.03555595874786377,
,,,34.734999999999999,0.022285580635070801,
,,,34.737499999999997,0.0095921754837036133,
,,,34.740000000000002,-0.012957851402461529,
,,,34.7425,-0.022477906197309494,
,,,34.744999999999997,-0.030771892517805099,
,,,34.747500000000002,-0.037911932915449142,
,,,34.75,-0.049595635384321213,
,,,34.752499999999998,-0.054716270416975021,
,,,34.755000000000003,-0.059788823127746582,
,,,34.7575,-0.06502966582775116,
,,,34.759999999999998,-0.076497003436088562,
,,,34.762500000000003,-0.082675419747829437,
,,,34.765000000000001,-0.088853836059570312,
,,,34.767499999999998,-0.09476780891418457,
,,,34.770000000000003,-0.10460039228200912,
,,,34.772500000000001,-0.10803818702697754,
,,,34.774999999999999,-0.11034607887268066,
,,,34.777500000000003,-0.1115240678191185,
,,,34.780000000000001,-0.1113317459821701,
,,,34.782499999999999,-0.11051436513662338,
,,,34.784999999999997,-0.10957678407430649,
,,,34.787500000000001,-0.10883152484893799,
,,,34.789999999999999,-0.10839879512786865,
,,,34.792499999999997,-0.10880748927593231,
,,,34.795000000000002,-0.10950466245412827,
,,,34.797499999999999,-0.11039416491985321,
,,,34.799999999999997,-0.11190871894359589,
,,,34.802500000000002,-0.112269327044487,
,,,34.805,-0.112269327044487,
,,,34.807499999999997,-0.11188467592000961,
,,,34.810000000000002,-0.11024992167949677,
,,,34.8125,-0.10921617597341537,
,,,34.814999999999998,-0.10823051631450653,
,,,34.817500000000003,-0.10741313546895981,
,,,34.82,-0.10652363300323486,
,,,34.822499999999998,-0.10647555440664291,
,,,34.825000000000003,-0.10666787624359131,
,,,34.827500000000001,-0.1069563627243042,
,,,34.829999999999998,-0.10741313546895981,
,,,34.832500000000003,-0.10738909244537354,
,,,34.835000000000001,-0.1070525273680687,
,,,34.837499999999999,-0.10640343278646469,
,,,34.840000000000003,-0.10431190580129623,
,,,34.842500000000001,-0.10308583825826645,
,,,34.844999999999999,-0.10190784931182861,
,,,34.847499999999997,-0.10094623267650604,
,,,34.850000000000001,-0.10008077323436737,
,,,34.852499999999999,-0.10027309507131577,
,,,34.854999999999997,-0.10085006803274155,
,,,34.857500000000002,-0.10171552747488022,
,,,34.859999999999999,-0.10361473262310028,
,,,34.862499999999997,-0.10431190580129623,
,,,34.865000000000002,-0.10464847087860107,
,,,34.8675,-0.10455231368541718,
,,,34.869999999999997,-0.10306179523468018,
,,,34.872500000000002,-0.10188381373882294,
,,,34.875,-0.10063370317220688,
,,,34.877499999999998,-0.099503800272941589,
,,,34.880000000000003,-0.098253689706325531,
,,,34.8825,-0.09830176830291748,
,,,34.884999999999998,-0.098806619644165039,
,,,34.887500000000003,-0.099624000489711761,
,,,34.890000000000001,-0.10147511959075928,
,,,34.892499999999998,-0.1021001785993576,
,,,34.895000000000003,-0.10226845741271973,
,,,34.897500000000001,-0.10185977071523666,
